Sintoma,Centralidade_Grau,Centralidade_Intermediação
Dengue Grave,1.0,0.040433218742042275
FEBRE,1.0,0.040433218742042275
MIALGIA,1.0,0.040433218742042275
CEFALEIA,1.0,0.040433218742042275
VOMITO,1.0,0.040433218742042275
NAUSEA,1.0,0.040433218742042275
DOR_COSTAS,0.8235294117647058,0.006294563279857397
ARTRITE,0.6470588235294118,0.0
PETEQUIA_N,0.7647058823529411,0.0020053475935828875
LEUCOPENIA,0.7647058823529411,0.0020053475935828875
LACO,0.6470588235294118,0.0
DOR_RETRO,0.7647058823529411,0.0020053475935828875
DIABETES,0.7058823529411764,0.0024509803921568627
HEMATOLOG,0.3529411764705882,0.0
HEPATOPAT,0.3529411764705882,0.0
RENAL,0.5294117647058824,0.0
HIPERTENSA,0.8823529411764706,0.014697924624395212
AUTO_IMUNE,0.4117647058823529,0.0
